track_name,semester,course_id
Architecture and Town Planning,1,02050574
Architecture and Town Planning,1,02050012
Architecture and Town Planning,1,02050922
Architecture and Town Planning,1,02040000
Architecture and Town Planning,1,01040277
Architecture and Town Planning,1,02050822
Architecture and Town Planning,1,02050878
Architecture and Town Planning,2,02050575
Architecture and Town Planning,2,02050102
Architecture and Town Planning,2,02050410
Architecture and Town Planning,2,01140014
Architecture and Town Planning,2,02050430
Architecture and Town Planning,2,02050886
Architecture and Town Planning,2,02050818
Architecture and Town Planning,2,02050819
Architecture and Town Planning,3,02050576
Architecture and Town Planning,3,02050257
Architecture and Town Planning,3,02050017
Architecture and Town Planning,3,02050501
Architecture and Town Planning,3,02050923
Architecture and Town Planning,3,02050458
Architecture and Town Planning,3,02050304
Architecture and Town Planning,3,02050543
Architecture and Town Planning,4,02050577
Architecture and Town Planning,4,02050492
Architecture and Town Planning,4,02050000
Architecture and Town Planning,4,02050028
Architecture and Town Planning,4,02050426
Architecture and Town Planning,4,02050826
Architecture and Town Planning,4,02050828
Architecture and Town Planning,5,02050582
Architecture and Town Planning,5,02050459
Architecture and Town Planning,5,02050104
Architecture and Town Planning,5,02050542
Architecture and Town Planning,6,02050586
Architecture and Town Planning,6,02050460
Architecture and Town Planning,6,02050105
Architecture and Town Planning,7,02050427
Architecture and Town Planning,7,02050510
Architecture and Town Planning,1,02050574
Architecture and Town Planning,1,02050012
Architecture and Town Planning,1,02050922
Architecture and Town Planning,1,02040000
Architecture and Town Planning,1,01040277
Architecture and Town Planning,1,02050822
Architecture and Town Planning,1,02050878
Architecture and Town Planning,2,02050575
Architecture and Town Planning,2,02050102
Architecture and Town Planning,2,02050410
Architecture and Town Planning,2,01140014
Architecture and Town Planning,2,02050430
Architecture and Town Planning,2,02050886
Architecture and Town Planning,2,02050818
Architecture and Town Planning,2,02050819
Architecture and Town Planning,3,02050576
Architecture and Town Planning,3,02050257
Architecture and Town Planning,3,02050017
Architecture and Town Planning,3,02050501
Architecture and Town Planning,3,02050923
Architecture and Town Planning,3,02050458
Architecture and Town Planning,3,02050304
Architecture and Town Planning,3,02050543
Architecture and Town Planning,4,02050577
Architecture and Town Planning,4,02050492
Architecture and Town Planning,4,02050000
Architecture and Town Planning,4,02050028
Architecture and Town Planning,4,02050426
Architecture and Town Planning,4,02050826
Architecture and Town Planning,4,02050828
Architecture and Town Planning,5,02050582
Architecture and Town Planning,5,02050459
Architecture and Town Planning,5,02050104
Architecture and Town Planning,5,02050542
Architecture and Town Planning,6,02050586
Architecture and Town Planning,6,02050460
Architecture and Town Planning,6,02050105
Architecture and Town Planning,7,02050427
Architecture and Town Planning,7,02050510
