track_name,semester,course_id
Biomedical Engineering,1,0440102
Biomedical Engineering,1,1040042
Biomedical Engineering,1,1040065
Biomedical Engineering,1,1140071
Biomedical Engineering,1,1250001
Biomedical Engineering,1,1340058
Biomedical Engineering,2,1040013
Biomedical Engineering,2,1040038
Biomedical Engineering,2,1040136
Biomedical Engineering,2,1140052
Biomedical Engineering,2,1240801
Biomedical Engineering,2,2340128
Biomedical Engineering,3,0440105
Biomedical Engineering,3,1040214
Biomedical Engineering,3,1040215
Biomedical Engineering,3,1040220
Biomedical Engineering,3,1240503
Biomedical Engineering,3,1340019
Biomedical Engineering,3,3340274
Biomedical Engineering,4,0440131
Biomedical Engineering,4,1040034
Biomedical Engineering,4,3340221
Biomedical Engineering,4,3340222
Biomedical Engineering,4,3360537
Biomedical Engineering,5,1340113
Biomedical Engineering,5,3340009
Biomedical Engineering,5,3340023
Biomedical Engineering,5,3350010
Biomedical Engineering,5,3360022
Biomedical Engineering,5,3360100
Biomedical Engineering,6,3340011
Biomedical Engineering,6,3350001
Biomedical Engineering,7,3340014
Biomedical Engineering,7,3350002
Biomedical Engineering,8,3350015
Biomedical Engineering,8,3350003
Biomedical Engineering and Physics,1,00440102
Biomedical Engineering and Physics,1,01040042
Biomedical Engineering and Physics,1,01040065
Biomedical Engineering and Physics,1,01140020
Biomedical Engineering and Physics,1,01140074
Biomedical Engineering and Physics,1,01250001
Biomedical Engineering and Physics,1,01340058
Biomedical Engineering and Physics,2,01040013
Biomedical Engineering and Physics,2,01040038
Biomedical Engineering and Physics,2,01040136
Biomedical Engineering and Physics,2,01140076
Biomedical Engineering and Physics,2,01240801
Biomedical Engineering and Physics,2,02340128
Biomedical Engineering and Physics,3,00440105
Biomedical Engineering and Physics,3,01040214
Biomedical Engineering and Physics,3,01040215
Biomedical Engineering and Physics,3,01040220
Biomedical Engineering and Physics,3,01140021
Biomedical Engineering and Physics,3,01140086
Biomedical Engineering and Physics,3,01340019
Biomedical Engineering and Physics,3,03340274
Biomedical Engineering and Physics,4,00440131
Biomedical Engineering and Physics,4,01040034
Biomedical Engineering and Physics,4,01140035
Biomedical Engineering and Physics,4,03340222
Biomedical Engineering and Physics,4,03360537
Biomedical Engineering and Physics,5,01140101
Biomedical Engineering and Physics,5,03340009
Biomedical Engineering and Physics,5,03340023
Biomedical Engineering and Physics,5,03350010
Biomedical Engineering and Physics,5,03360100
Biomedical Engineering and Physics,6,01140036
Biomedical Engineering and Physics,6,01150203
Biomedical Engineering and Physics,6,03340011
Biomedical Engineering and Physics,6,03350005
Biomedical Engineering and Physics,6,03360533
Biomedical Engineering and Physics,7,01140037
Biomedical Engineering and Physics,7,01150204
Biomedical Engineering and Physics,7,03340014
Biomedical Engineering and Physics,7,03350003
Biomedical Engineering and Physics,8,01140246
Biomedical Engineering and Physics,8,03350015
Medicine and Biomedical Engineering,1,00440102
Medicine and Biomedical Engineering,1,01040042
Medicine and Biomedical Engineering,1,01040065
Medicine and Biomedical Engineering,1,01140071
Medicine and Biomedical Engineering,1,01250001
Medicine and Biomedical Engineering,1,01340058
Medicine and Biomedical Engineering,2,01040013
Medicine and Biomedical Engineering,2,01040038
Medicine and Biomedical Engineering,2,01040136
Medicine and Biomedical Engineering,2,01140052
Medicine and Biomedical Engineering,2,01240801
Medicine and Biomedical Engineering,2,02340128
Medicine and Biomedical Engineering,3,00440105
Medicine and Biomedical Engineering,3,01040214
Medicine and Biomedical Engineering,3,01040215
Medicine and Biomedical Engineering,3,01040220
Medicine and Biomedical Engineering,3,01240503
Medicine and Biomedical Engineering,3,01340019
Medicine and Biomedical Engineering,3,03340274
Medicine and Biomedical Engineering,4,00440131
Medicine and Biomedical Engineering,4,01040034
Medicine and Biomedical Engineering,4,03340221
Medicine and Biomedical Engineering,4,03340222
Medicine and Biomedical Engineering,4,03360537
Medicine and Biomedical Engineering,5,01340113
