id,name,faculty,points,prerequisites
	00140003,סטטיסטיקה,הפקולטה להנדסה אזרחית וסביבתית,3,01040044 או 01040022 או 01040004
	00140004,נתוח מערכות,הפקולטה להנדסה אזרחית וסביבתית,3,(01040019 ו-02340112 ו-00140003) או (00140003 ו-01040019 ו-02340128)
	00140005,מעבדה הנדסית,הפקולטה להנדסה אזרחית וסביבתית,1.5,	00140104
	00140006,מבוא לשיטות נומריות,הפקולטה להנדסה אזרחית וסביבתית,3,(02340128 ו-01040044 ו-01040131) או (01040131 ו-01040022 ו-02340128) או (02340128 ו-01040131 ו-01040004)
	00140008,מידע גרפי הנדסי,הפקולטה להנדסה אזרחית וסביבתית,3,
	00140101,פרויקט בקונסטרוקציות,הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140102,מבוא למכניקה הנדסית,הפקולטה להנדסה אזרחית וסביבתית,4.5,00140010 או 02050691 או 02750103
	00140104,תורת החוזק 1,הפקולטה להנדסה אזרחית וסביבתית,4,	00140102
	00140131,פרויקט מורחב במבנים-חלק א',הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140132,פרויקט מורחב במבנים-חלק ב',הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140131
	00140146,מבוא לדינמיקת מבנים ורעידות אדמה,הפקולטה להנדסה אזרחית וסביבתית,4.5,00140143 ו-01040131 ו-01040019
	00140148,עקרי תכן מבנים,הפקולטה להנדסה אזרחית וסביבתית,3,00140153 או 00140123
	00140150,מבני פלדה 1,הפקולטה להנדסה אזרחית וסביבתית,4.5,00140108 ו-00140145 ו-00140008 ו-01040131
	00140151,נושא אישי בהנדסת מבנים,הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140153,מבני בטון 1,הפקולטה להנדסה אזרחית וסביבתית,4,00140104 ו-00140008 ו-00140505
	00140202,פרויקט בהנדסת מים 2,הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140201
	00140213,מבוא להידרוליקה והידרולוגיה,הפקולטה להנדסה אזרחית וסביבתית,3.5,00140211 או 00140214
	00140300,סמינריון בהנ. סביבתית ומשאבי מים,הפקולטה להנדסה אזרחית וסביבתית,1.5,
	00140301,פרויקט בהנדסה סביבתית,הפקולטה להנדסה אזרחית וסביבתית,2.5,(00140205 ו-00140212 ו-00140315) או (00140322 ו-00140205 ו-00140212)
	00140313,מיקרוביולוגיה סביבתית ואפידמיולוג,הפקולטה להנדסה אזרחית וסביבתית,3,	01340058
	00140316,מבוא להנדסת הסביבה,הפקולטה להנדסה אזרחית וסביבתית,2.5,01240120 או 01250001
	00140322,יסודות הטיפול במים ושפכים,הפקולטה להנדסה אזרחית וסביבתית,2.5,01240120 או 01250001
	00140327,כימיה של המים,הפקולטה להנדסה אזרחית וסביבתית,3.5,01250001 או 01250011 או 01240120
	00140332,כימיה של המים,הפקולטה להנדסה אזרחית וסביבתית,4,01250001 או (01250001 ו-01250011) או 01240120
	00140405,גיאולוגיה הנדסית,הפקולטה להנדסה אזרחית וסביבתית,2,	00140104
	00140411,הנדסת קרקע,הפקולטה להנדסה אזרחית וסביבתית,3.5,	00140409
	00140501,פרויקט בחומרים ותפקוד,הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140503,פרויקט מעבדתי בחומרי בניה (1),הפקולטה להנדסה אזרחית וסביבתית,0,(00140506 ו-00140515 ו-00140505) או (00140506 ו-00140508 ו-00140505) או (00140513 ו-00140505 ו-00140506) או (00140506 ו-00140505 ו-00160505) או (00140506 ו-00140520 ו-00140505)
	00140506,טכנולוגיה מתקדמת של בטון,הפקולטה להנדסה אזרחית וסביבתית,2,(00140505 ו-00140123) או (00140153 ו-00140505)
	00140512,אקוסטיקה בהנדסה אזרחית,הפקולטה להנדסה אזרחית וסביבתית,2.5,	01140052
	00140520,תפקוד פיזי ואקלימי של בניינים,הפקולטה להנדסה אזרחית וסביבתית,4,00140153 ו-00140006
	00140600,סמינריון בניהול הבנייה,הפקולטה להנדסה אזרחית וסביבתית,1.5,00140609 ו-00140610 ו-00140606
	00140601,פרויקט בניהול הבנייה,הפקולטה להנדסה אזרחית וסביבתית,2.5,00140606 ו-00140610 ו-00140609 ו-00140617
	00140603,כלכלה הנדסית ומימון,הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140609,מיכון בבנייה,הפקולטה להנדסה אזרחית וסביבתית,2.5,(00140603 ו-00140610 ו-00140606) או (00140619 ו-00140618 ו-00140603)
	00140615,מבוא לניהול פיננסי בבנייה,הפקולטה להנדסה אזרחית וסביבתית,2.5,(00140606 ו-00140603) או (00140603 ו-00140618)
	00140618,מבוא לניהול ובטיחות בבנייה,הפקולטה להנדסה אזרחית וסביבתית,4,
	00140619,שיטות ביצוע בבנייה,הפקולטה להנדסה אזרחית וסביבתית,4,00140618 או 00140606
	00140632,פרויקטי תשתית: שיטות וניהול,הפקולטה להנדסה אזרחית וסביבתית,3,(00140610 ו-00140606) או (00140619 ו-00140618)
	00140702,תכנון תחבורה,הפקולטה להנדסה אזרחית וסביבתית,4.5,
	00140709,מעבדת דרכים,הפקולטה להנדסה אזרחית וסביבתית,2,	00140731
	00140719,פרויקט מורחב בתחבורה - חלק א',הפקולטה להנדסה אזרחית וסביבתית,2.5,00140779 או 00140733 או 00140710 או 00140702
	00140720,פרויקט מורחב בתחבורה - חלק ב',הפקולטה להנדסה אזרחית וסביבתית,2.5,
	00140721,פרויקט בתכנון תחבורה,הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140702
	00140722,פרויקט בהנדסת תעבורה,הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140733
	00140723,פרויקט בתכן גיאומטרי של דרכים,הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140779
	00140724,פרויקט במבנה דרכים,הפקולטה להנדסה אזרחית וסביבתית,2.5,00140731 ו-00140710 ו-00140709
	00140725,מבוא לתחבורה מסילתית,הפקולטה להנדסה אזרחית וסביבתית,2.5,(00140731 ו-00140730) או 00140718 או (00140779 ו-00140731)
	00140731,מבוא לתכן מסעות,הפקולטה להנדסה אזרחית וסביבתית,1.5,00140409 ו-00140104
	00140779,תכן גיאומטרי ותפעול דרכים,הפקולטה להנדסה אזרחית וסביבתית,4,
	00140814,חשבון תאום 1,הפקולטה להנדסה אזרחית וסביבתית,4,(00140842 ו-01040019 ו-01040004) או (01040019 ו-00140842 ו-01040044) או (01040022 ו-00140842 ו-01040019)
	00140841,יסודות המיפוי והמדידה 1,הפקולטה להנדסה אזרחית וסביבתית,3.5,01040042 או 01040003 או 01040018
	00140845,תכנות מונחה עצמים למידע גיאוגרפי,הפקולטה להנדסה אזרחית וסביבתית,3,	02340128
	00140849,גיאודזיה מתמטית,הפקולטה להנדסה אזרחית וסביבתית,4,00140848 ו-00140842
	00140852,מדידות ג'.פ.ס.,הפקולטה להנדסה אזרחית וסביבתית,3,	00140851
	00140853,מדידות הנדסיות מיוחדות,הפקולטה להנדסה אזרחית וסביבתית,3,	00140851
	00140856,עיבוד וניתוח מידע מרחבי תלת ממדי,הפקולטה להנדסה אזרחית וסביבתית,3,00140843 ו-00140855
	00140857,מערכות מידע גיאוגרפי 1,הפקולטה להנדסה אזרחית וסביבתית,3,00140878 ו-00140877
	00140859,מיפוי ימי,הפקולטה להנדסה אזרחית וסביבתית,3,00140863 ו-00140842 ו-00140877
	00140866,סמינר במיפוי וגיאו-אינפורמציה,הפקולטה להנדסה אזרחית וסביבתית,1.5,(00140889 ו-00140857 ו-00140856) או (00140851 ו-00140852)
	00140867,פרויקט בגיאודזיה ומדידות 1,הפקולטה להנדסה אזרחית וסביבתית,2.5,00140888 ו-00140851 ו-00140853
	00140868,פרויקט מתקדם במיפוי וגיאו-אינפו',הפקולטה להנדסה אזרחית וסביבתית,2.5,00140867 או 00140869
	00140869,פרויקט במיפוי ספרתי 1,הפקולטה להנדסה אזרחית וסביבתית,2.5,00140889 ו-00140857 ו-00140856
	00140877,"כרטוגרפיה ומבוא לממ""ג",הפקולטה להנדסה אזרחית וסביבתית,3,	00140842
	00140878,מיפוי ממוחשב,הפקולטה להנדסה אזרחית וסביבתית,3.5,00140846 ו-00140842
	00140881,יסודות המיפוי והמדידה 1ג',הפקולטה להנדסה אזרחית וסביבתית,3.5,01040003 או 01040018 או 01040042
	00140882,ניהול מקרקעין,הפקולטה להנדסה אזרחית וסביבתית,2,	00140888
	00140888,קדסטר 1,הפקולטה להנדסה אזרחית וסביבתית,4,00140863 ו-00140842 ו-00140829
	00140889,פוטוגרמטריה 2,הפקולטה להנדסה אזרחית וסביבתית,3.5,00140855 או 00140843
	00140935,שיטות מדידה,הפקולטה להנדסה אזרחית וסביבתית,2,(00140205 ו-00140003 ו-01140052) או (01140052 ו-00140205 ו-00940480)
	00140942,הנדסה הידרולית ומאגרים,הפקולטה להנדסה אזרחית וסביבתית,3.5,00140205 ו-00140212 ו-00140977
	00140956,מבוא לכימיה של הקרקע,הפקולטה להנדסה אזרחית וסביבתית,2.5,01240120 או 01250001
	00140958,הנדסת השקיה 1,הפקולטה להנדסה אזרחית וסביבתית,3.5,00140977 ו-00140205
	00140972,משאבות ומערכות שאיבה,הפקולטה להנדסה אזרחית וסביבתית,2.5,	00140205
	00140979,מבוא לפיסיקה של אטמוספירה,הפקולטה להנדסה אזרחית וסביבתית,4,(00140211 ו-00540316) או (00360035 ו-00140214) או (00140211 ו-00360035) או (00540316 ו-00140214)
	00150007,מכניקה יישומית 1,הפקולטה להנדסה אזרחית וסביבתית,4,	01040019
	00150019,מבוא לבקרה,הפקולטה להנדסה אזרחית וסביבתית,4,02340128 ו-01040131
	00160144,מבוא לאלמנטים סופיים,הפקולטה להנדסה אזרחית וסביבתית,3,	00140143
	00160206,מכניקת זורמים סביבתית,הפקולטה להנדסה אזרחית וסביבתית,3,	00140214
	00160211,הידרולוגיה של נגר על קרקעי,הפקולטה להנדסה אזרחית וסביבתית,2.5,00140205 ו-00140212
	00160223,"הידרולוגיה של מי תהום: זרימה, הסעת מומסים ושיקום",הפקולטה להנדסה אזרחית וסביבתית,4.5,00140977 ו-00140006
	00160302,זיהום אויר,הפקולטה להנדסה אזרחית וסביבתית,2.5,01240120 או 01250001
	00160328,הפרדה ממברנלית בטיפול בשפכים,הפקולטה להנדסה אזרחית וסביבתית,3,00140322 או 00540323
	00160337,אלקטרוכימיה סביבתית,הפקולטה להנדסה אזרחית וסביבתית,3,01250001 או 01240120
	00160338,טכנולוגיות טיפול בפסולת מוצקה,הפקולטה להנדסה אזרחית וסביבתית,3,
