track_name,semester,course_id
Civil Engineering - Water & Environment,1,00140102
Civil Engineering - Water & Environment,1,01040042
Civil Engineering - Water & Environment,1,01040019
Civil Engineering - Water & Environment,1,01140051
Civil Engineering - Water & Environment,1,01250001
Civil Engineering - Water & Environment,1,03940800
Civil Engineering - Water & Environment,2,00140008
Civil Engineering - Water & Environment,2,00140104
Civil Engineering - Water & Environment,2,01040044
Civil Engineering - Water & Environment,2,01040131
Civil Engineering - Water & Environment,2,02340128
Civil Engineering - Water & Environment,2,03240033
Civil Engineering - Water & Environment,3,00140003
Civil Engineering - Water & Environment,3,00140214
Civil Engineering - Water & Environment,3,00140316
Civil Engineering - Water & Environment,3,00140505
Civil Engineering - Water & Environment,3,01040228
Civil Engineering - Water & Environment,3,01140052
Civil Engineering - Water & Environment,3,03140536
Civil Engineering - Water & Environment,4,00140006
Civil Engineering - Water & Environment,4,00140153
Civil Engineering - Water & Environment,4,00140405
Civil Engineering - Water & Environment,4,00140702
Civil Engineering - Water & Environment,4,00150019
Civil Engineering - Water & Environment,4,00140332
Civil Engineering - Water & Environment,5,00140205
Civil Engineering - Water & Environment,5,00140212
Civil Engineering - Water & Environment,5,00140409
Civil Engineering - Water & Environment,5,00140841
Civil Engineering - Water & Environment,5,00140412
Civil Engineering - Water & Environment,5,00140977
Civil Engineering - Water & Environment,5,01240503
Civil Engineering - Water & Environment,6,00140004
Civil Engineering - Water & Environment,6,00140603
Civil Engineering - Water & Environment,6,00940202
Civil Engineering - Water & Environment,6,03940800
Civil Engineering - Water & Environment,6,00140325
Civil Engineering - Water & Environment,7,00140618
Civil Engineering - Water & Environment,7,00160203
Civil Engineering - Transportation,1,00140102
Civil Engineering - Transportation,1,01040042
Civil Engineering - Transportation,1,01040019
Civil Engineering - Transportation,1,01140051
Civil Engineering - Transportation,1,01250001
Civil Engineering - Transportation,1,03940800
Civil Engineering - Transportation,2,00140008
Civil Engineering - Transportation,2,00140104
Civil Engineering - Transportation,2,01040044
Civil Engineering - Transportation,2,01040131
Civil Engineering - Transportation,2,02340128
Civil Engineering - Transportation,2,03240033
Civil Engineering - Transportation,3,00140003
Civil Engineering - Transportation,3,00140214
Civil Engineering - Transportation,3,00140316
Civil Engineering - Transportation,3,00140505
Civil Engineering - Transportation,3,01040228
Civil Engineering - Transportation,3,01140052
Civil Engineering - Transportation,3,03140536
Civil Engineering - Transportation,4,00140006
Civil Engineering - Transportation,4,00140153
Civil Engineering - Transportation,4,00140405
Civil Engineering - Transportation,4,00140702
Civil Engineering - Transportation,4,00150019
Civil Engineering - Transportation,4,00140779
Civil Engineering - Transportation,5,00140205
Civil Engineering - Transportation,5,00140212
Civil Engineering - Transportation,5,00140409
Civil Engineering - Transportation,5,00140841
Civil Engineering - Transportation,5,00140733
Civil Engineering - Transportation,5,00940591
Civil Engineering - Transportation,6,00140004
Civil Engineering - Transportation,6,00140603
Civil Engineering - Transportation,6,00940202
Civil Engineering - Transportation,6,03940800
Civil Engineering - Transportation,6,00140735
Civil Engineering - Transportation,7,00140618
Civil Engineering - Transportation,7,00140709
Civil Engineering - Transportation,7,00140710
Civil Engineering,1,00140008
Civil Engineering,1,00140102
Civil Engineering,1,01040042
Civil Engineering,1,01040019
Civil Engineering,1,01250001
Civil Engineering,1,03940800
Civil Engineering,2,00140104
Civil Engineering,2,01040044
Civil Engineering,2,01040131
Civil Engineering,2,01140051
Civil Engineering,2,02340128
Civil Engineering,2,03240033
Civil Engineering,3,00140003
Civil Engineering,3,00140108
Civil Engineering,3,00140214
Civil Engineering,3,00140525
Civil Engineering,3,01040228
Civil Engineering,3,01140052
Civil Engineering,4,00140005
Civil Engineering,4,00140006
Civil Engineering,4,00140153
Civil Engineering,4,00140405
Civil Engineering,4,00140603
Civil Engineering,4,00140618
Civil Engineering,4,00140779
Civil Engineering,5,00140143
Civil Engineering,5,00140145
Civil Engineering,5,00140149
Civil Engineering,5,00140160
Civil Engineering,5,00140409
Civil Engineering,5,00140841
