track_name,semester,course_id
Mathematics Education,1,02140011
Mathematics Education,1,02140114
Mathematics Education,1,01040031
Mathematics Education,1,01040195
Mathematics Education,1,01040041
Mathematics Education,1,01040042
Mathematics Education,1,01040018
Mathematics Education,1,01040166
Mathematics Education,1,01040016
Mathematics Education,1,01040065
Mathematics Education,1,02340114
Mathematics Education,1,03940901
Mathematics Education,2,02140012
Mathematics Education,2,02160014
Mathematics Education,2,01040032
Mathematics Education,2,01040281
Mathematics Education,2,01040043
Mathematics Education,2,01040044
Mathematics Education,2,01040022
Mathematics Education,2,00940345
Mathematics Education,2,03240033
Mathematics Education,2,03940901
Mathematics Education,2,00940314
Mathematics Education,2,00940202
Mathematics Education,3,02140132
Mathematics Education,3,02160135
Mathematics Education,3,01040215
Mathematics Education,3,01040214
Mathematics Education,3,01040134
Mathematics Education,3,00440268
Mathematics Education,4,02140137
Mathematics Education,4,02160133
Mathematics Education,4,01040034
Mathematics Education,4,01040222
Mathematics Education,4,01040285
Mathematics Education,5,02140092
Mathematics Education,5,02140213
Mathematics Education,5,01060397
Mathematics Education,5,00940313
Mathematics Education,6,02140093
Mathematics Education,6,00940423
Mathematics Education,6,01140051
Mathematics Education,7,02160013
Mathematics Education,8,02160112
Mathematics Education,8,02160125
Physics Education,1,02140011
Physics Education,1,02140114
Physics Education,1,02160026
Physics Education,1,01040018
Physics Education,1,01040016
Physics Education,1,02340128
Physics Education,1,03940901
Physics Education,2,02140012
Physics Education,2,01040022
Physics Education,2,01040135
Physics Education,2,03940900
Physics Education,2,03240033
Physics Education,2,01140071
Physics Education,3,02140301
Physics Education,3,00440102
Physics Education,3,01040215
Physics Education,3,01040223
Physics Education,3,01140076
Physics Education,3,01140075
Physics Education,3,01140020
Physics Education,4,02140607
Physics Education,4,02140302
Physics Education,4,01040034
Physics Education,4,01140021
Physics Education,4,01140073
Physics Education,5,02160005
Physics Education,5,02140609
Physics Education,5,01240120
Physics Education,5,01340058
Physics Education,5,01140086
Physics Education,6,02160034
Physics Education,6,02160128
Physics Education,6,01140035
Physics Education,7,02140092
Physics Education,7,02160004
Physics Education,7,01240415
Physics Education,8,02140093
track_name,semester,course_id
Chemistry Education,1,02140011/2
Chemistry Education,1,01240117
Chemistry Education,1,01340058
Chemistry Education,1,01040003
Chemistry Education,2,0214011/2
Chemistry Education,2,01240118
Chemistry Education,2,01250801
Chemistry Education,2,01240708
Chemistry Education,2,01040004
Chemistry Education,2,03940901
Chemistry Education,3,02140401
Chemistry Education,3,01140051
Chemistry Education,3,03240033
Chemistry Education,3,01040019
Chemistry Education,4,02140114
Chemistry Education,4,01240220
Chemistry Education,4,01140052
Chemistry Education,5,02140402
Chemistry Education,5,02140607
Chemistry Education,5,0134019
Chemistry Education,5,00140968
Chemistry Education,5,01340153
Chemistry Education,5,00140978
Chemistry Education,5,01240415
Chemistry Education,5,00540350
Chemistry Education,5,01240212
Chemistry Education,6,02160128
Chemistry Education,6,00640322
Chemistry Education,6,01240911
Chemistry Education,6,00940481
Chemistry Education,6,01340143
Chemistry Education,7,02140092
Chemistry Education,7,01140054
Chemistry Education,8,02140093
Chemistry Education,8,02160126
Biology-Environmental Sciences Education,1,02140011
Biology-Environmental Sciences Education,1,02140012
Biology-Environmental Sciences Education,1,01240120
Biology-Environmental Sciences Education,1,01340058
Biology-Environmental Sciences Education,1,01040003
Biology-Environmental Sciences Education,1,03940901
Biology-Environmental Sciences Education,2,02140114
Biology-Environmental Sciences Education,2,01340019
Biology-Environmental Sciences Education,2,01340020
Biology-Environmental Sciences Education,2,01250801
Biology-Environmental Sciences Education,2,03240033
Biology-Environmental Sciences Education,2,03940901
Biology-Environmental Sciences Education,3,02140011
Biology-Environmental Sciences Education,3,02140012
Biology-Environmental Sciences Education,3,01340082
Biology-Environmental Sciences Education,3,01340113
Biology-Environmental Sciences Education,3,01140051
Biology-Environmental Sciences Education,3,01340154
Biology-Environmental Sciences Education,4,02140607
Biology-Environmental Sciences Education,4,01340128
Biology-Environmental Sciences Education,4,01340121
Biology-Environmental Sciences Education,4,01340133
Biology-Environmental Sciences Education,4,01140052
Biology-Environmental Sciences Education,5,02140501
Biology-Environmental Sciences Education,5,01340163
Biology-Environmental Sciences Education,5,01340111
Biology-Environmental Sciences Education,5,02340128
Biology-Environmental Sciences Education,6,02140502
Biology-Environmental Sciences Education,6,01340117
Biology-Environmental Sciences Education,6,01340040
Biology-Environmental Sciences Education,6,01340153
Biology-Environmental Sciences Education,6,00160302
Biology-Environmental Sciences Education,7,02140092
Biology-Environmental Sciences Education,7,02160128
Biology-Environmental Sciences Education,7,01140054
Biology-Environmental Sciences Education,8,02160136
Biology-Environmental Sciences Education,8,02140093
Computer Science Education,1,02140011
Computer Science Education,1,02140012
Computer Science Education,1,01040031
Computer Science Education,1,01040195
Computer Science Education,1,01040041
Computer Science Education,1,01040042
Computer Science Education,1,01040018
Computer Science Education,1,01040166
Computer Science Education,1,01040016
Computer Science Education,1,03240033
Computer Science Education,1,03940901
Computer Science Education,2,02140011
Computer Science Education,2,02140012
Computer Science Education,2,02340114
Computer Science Education,2,01040032
Computer Science Education,2,01040281
Computer Science Education,2,01040043
Computer Science Education,2,01040044
Computer Science Education,2,01040022
Computer Science Education,2,00940345
Computer Science Education,2,03940901
Computer Science Education,3,02140114
Computer Science Education,3,02340141
Computer Science Education,3,00940344
Computer Science Education,3,02340122
Computer Science Education,3,00940219
Computer Science Education,3,02340118
Computer Science Education,4,02340218
Computer Science Education,4,02340129
Computer Science Education,4,01040131
Computer Science Education,4,00940412
Computer Science Education,4,00940431
Computer Science Education,4,01040034
Computer Science Education,5,02140901
Computer Science Education,5,02340247
Computer Science Education,5,02340252
Computer Science Education,5,04402520
Computer Science Education,5,01040134
Computer Science Education,6,02140902
Computer Science Education,6,00940222
Computer Science Education,6,00940240
Computer Science Education,7,02140092
Computer Science Education,7,02360319
Computer Science Education,8,02140093
Computer Science Education,8,02160126
Technology-Mechanical Education,1,0030042
Technology-Mechanical Education,1,01040018
Technology-Mechanical Education,1,01040016
Technology-Mechanical Education,1,01250001
Technology-Mechanical Education,1,03240033
Technology-Mechanical Education,1,03940800
Technology-Mechanical Education,2,00340028
Technology-Mechanical Education,2,03140533
Technology-Mechanical Education,2,01250013
Technology-Mechanical Education,2,01040022
Technology-Mechanical Education,2,02340128
Technology-Mechanical Education,2,03940800
Technology-Mechanical Education,3,02140011
Technology-Mechanical Education,3,02140012
Technology-Mechanical Education,3,00340029
Technology-Mechanical Education,3,00340030
Technology-Mechanical Education,3,00340033
Technology-Mechanical Education,3,00140006
Technology-Mechanical Education,3,00340043
Technology-Mechanical Education,3,01040131
Technology-Mechanical Education,4,02140011
Technology-Mechanical Education,4,02140012
Technology-Mechanical Education,4,02140114
Technology-Mechanical Education,4,00340035
Technology-Mechanical Education,4,00340022
Technology-Mechanical Education,4,00940481
Technology-Mechanical Education,4,01140051
Technology-Mechanical Education,5,02140807
Technology-Mechanical Education,5,00340015
Technology-Mechanical Education,5,00340032
Technology-Mechanical Education,5,00340013
