track_name,semester,course_id
Physics - Three-Year Track,1,00440102
Physics - Three-Year Track,1,01040012
Physics - Three-Year Track,1,01040064
Physics - Three-Year Track,1,01140074
Physics - Three-Year Track,1,01140020
Physics - Three-Year Track,1,02340128
Physics - Three-Year Track,2,01040013
Physics - Three-Year Track,2,01040038
Physics - Three-Year Track,2,01040136
Physics - Three-Year Track,2,01140021
Physics - Three-Year Track,2,01140034
Physics - Three-Year Track,2,01140076
Physics - Three-Year Track,2,03240033
Physics - Three-Year Track,3,01040034
Physics - Three-Year Track,3,01040220
Physics - Three-Year Track,3,01040214
Physics - Three-Year Track,3,01040215
Physics - Three-Year Track,3,01140086
Physics - Three-Year Track,3,01140101
Physics - Three-Year Track,3,01140035
Physics - Three-Year Track,3,01140038
Physics - Three-Year Track,4,01140037
Physics - Three-Year Track,4,01150203
Physics - Three-Year Track,4,01140246
Physics - Three-Year Track,4,01140036
Physics - Three-Year Track,5,01150204
Physics - Three-Year Track,5,01240107
Physics - Three-Year Track,5,01140250
Mathematics and Physics - Combined Three-Year Track,1,00440102
Mathematics and Physics - Combined Three-Year Track,1,01040000
Mathematics and Physics - Combined Three-Year Track,1,01040195
Mathematics and Physics - Combined Three-Year Track,1,01040066
Mathematics and Physics - Combined Three-Year Track,1,01140074
Mathematics and Physics - Combined Three-Year Track,1,01140020
Mathematics and Physics - Combined Three-Year Track,1,03940901
Mathematics and Physics - Combined Three-Year Track,2,01040281
Mathematics and Physics - Combined Three-Year Track,2,01040168
Mathematics and Physics - Combined Three-Year Track,2,01140076
Mathematics and Physics - Combined Three-Year Track,2,01140021
Mathematics and Physics - Combined Three-Year Track,2,03240033
Mathematics and Physics - Combined Three-Year Track,2,03940901
Mathematics and Physics - Combined Three-Year Track,3,01040295
Mathematics and Physics - Combined Three-Year Track,3,01040285
Mathematics and Physics - Combined Three-Year Track,3,01040222
Mathematics and Physics - Combined Three-Year Track,3,02340128
Mathematics and Physics - Combined Three-Year Track,3,01140101
Mathematics and Physics - Combined Three-Year Track,3,01140086
Mathematics and Physics - Combined Three-Year Track,4,01150203
Mathematics and Physics - Combined Three-Year Track,4,01040142
Mathematics and Physics - Combined Three-Year Track,4,01040158
Mathematics and Physics - Combined Three-Year Track,4,01040030
Mathematics and Physics - Combined Three-Year Track,4,01140035
Mathematics and Physics - Combined Three-Year Track,4,01140036
Mathematics and Physics - Combined Three-Year Track,5,01040122
Mathematics and Physics - Combined Three-Year Track,5,01150204
Mathematics and Physics - Combined Three-Year Track,6,01140246
Physics - Four-Year Track,1,00440102
Physics - Four-Year Track,1,01040012
Physics - Four-Year Track,1,01040064
Physics - Four-Year Track,1,01140074
Physics - Four-Year Track,1,01140020
Physics - Four-Year Track,1,02340128
Physics - Four-Year Track,2,01040013
Physics - Four-Year Track,2,01040038
Physics - Four-Year Track,2,01040136
Physics - Four-Year Track,2,01140021
Physics - Four-Year Track,2,01140034
Physics - Four-Year Track,2,01140076
Physics - Four-Year Track,2,03240033
Physics - Four-Year Track,3,01040034
Physics - Four-Year Track,3,01040220
Physics - Four-Year Track,3,01040214
Physics - Four-Year Track,3,01040215
Physics - Four-Year Track,3,01140086
Physics - Four-Year Track,3,01140101
Physics - Four-Year Track,3,01140035
Physics - Four-Year Track,3,01140038
Physics - Four-Year Track,4,01150203
Physics - Four-Year Track,4,01140246
Physics - Four-Year Track,4,01140036
Physics - Four-Year Track,4,01160210
Physics - Four-Year Track,4,01140037
Physics - Four-Year Track,4,03940901
Physics - Four-Year Track,5,01160217
Physics - Four-Year Track,5,01150204
Physics - Four-Year Track,5,01140250
Physics - Four-Year Track,5,01160041
Physics - Four-Year Track,6,01160354
Physics - Four-Year Track,6,01160004
Physics - Four-Year Track,7,00460342
Physics - Four-Year Track,7,01140208
Physics - Four-Year Track,7,01240107
Physics - Electrical and Computer Engineering Track,1,00440102
Physics - Electrical and Computer Engineering Track,1,01040012
Physics - Electrical and Computer Engineering Track,1,01040064
Physics - Electrical and Computer Engineering Track,1,01040016
Physics - Electrical and Computer Engineering Track,1,01140020
Physics - Electrical and Computer Engineering Track,1,01140074
Physics - Electrical and Computer Engineering Track,1,02340117
Physics - Electrical and Computer Engineering Track,1,03240033
Physics - Electrical and Computer Engineering Track,2,04402520
Physics - Electrical and Computer Engineering Track,2,01040013
Physics - Electrical and Computer Engineering Track,2,01040038
Physics - Electrical and Computer Engineering Track,2,01040136
Physics - Electrical and Computer Engineering Track,2,01140030
Physics - Electrical and Computer Engineering Track,2,01140076
Physics - Electrical and Computer Engineering Track,3,00404105
Physics - Electrical and Computer Engineering Track,3,00440268
Physics - Electrical and Computer Engineering Track,3,01040034
Physics - Electrical and Computer Engineering Track,3,01040214
Physics - Electrical and Computer Engineering Track,3,01040215
Physics - Electrical and Computer Engineering Track,3,01040220
Physics - Electrical and Computer Engineering Track,3,01140101
Physics - Electrical and Computer Engineering Track,3,03940901
Physics - Electrical and Computer Engineering Track,4,00440127
Physics - Electrical and Computer Engineering Track,4,00440131
Physics - Electrical and Computer Engineering Track,4,00440157
Physics - Electrical and Computer Engineering Track,4,01150203
Physics - Electrical and Computer Engineering Track,4,01140246
Physics - Electrical and Computer Engineering Track,4,04401400
Physics - Electrical and Computer Engineering Track,4,01140036
Physics - Electrical and Computer Engineering Track,5,00440137
Physics - Electrical and Computer Engineering Track,5,00440148
Physics - Electrical and Computer Engineering Track,5,00440202
Physics - Electrical and Computer Engineering Track,5,01150204
Physics - Electrical and Computer Engineering Track,5,01160217
Physics - Electrical and Computer Engineering Track,5,00440158
Physics - Electrical and Computer Engineering Track,5,03940901
Physics - Electrical and Computer Engineering Track,6,01140035
Physics - Electrical and Computer Engineering Track,6,00440167
Physics - Electrical and Computer Engineering Track,7,01140037
Physics - Electrical and Computer Engineering Track,8,01140250
Physics - Electrical and Computer Engineering Track,8,01140252
Physics and Electrical Engineering - Combined Track,1,00440102
Physics and Electrical Engineering - Combined Track,1,01040012
Physics and Electrical Engineering - Combined Track,1,01040064
Physics and Electrical Engineering - Combined Track,1,01040016
Physics and Electrical Engineering - Combined Track,1,01140020
Physics and Electrical Engineering - Combined Track,1,01140074
Physics and Electrical Engineering - Combined Track,1,02340117
Physics and Electrical Engineering - Combined Track,1,03240033
Physics and Electrical Engineering - Combined Track,2,04402520
Physics and Electrical Engineering - Combined Track,2,01040013
Physics and Electrical Engineering - Combined Track,2,01040038
Physics and Electrical Engineering - Combined Track,2,01040136
Physics and Electrical Engineering - Combined Track,2,11400300
Physics and Electrical Engineering - Combined Track,2,01140076
Physics and Electrical Engineering - Combined Track,3,00440105
Physics and Electrical Engineering - Combined Track,3,04402680
Physics and Electrical Engineering - Combined Track,3,01040034
Physics and Electrical Engineering - Combined Track,3,01040214
Physics and Electrical Engineering - Combined Track,3,01040215
Physics and Electrical Engineering - Combined Track,3,01040220
Physics and Electrical Engineering - Combined Track,3,01140101
Physics and Electrical Engineering - Combined Track,3,03940901
Physics and Electrical Engineering - Combined Track,4,00440127
Physics and Electrical Engineering - Combined Track,4,00440131
Physics and Electrical Engineering - Combined Track,4,00440157
Physics and Electrical Engineering - Combined Track,4,11502030
Physics and Electrical Engineering - Combined Track,4,11402460
Physics and Electrical Engineering - Combined Track,4,00440140
Physics and Electrical Engineering - Combined Track,4,01140036
Physics and Electrical Engineering - Combined Track,5,00440137
Physics and Electrical Engineering - Combined Track,5,00440148
Physics and Electrical Engineering - Combined Track,5,00440202
Physics and Electrical Engineering - Combined Track,5,01150204
Physics and Electrical Engineering - Combined Track,5,01160217
Physics and Electrical Engineering - Combined Track,5,03940901
Physics and Electrical Engineering - Combined Track,6,00440158
Physics and Electrical Engineering - Combined Track,6,00440167
Physics and Electrical Engineering - Combined Track,6,01140035
Physics and Electrical Engineering - Combined Track,7,00440169
Physics and Electrical Engineering - Combined Track,7,01140037
Physics and Electrical Engineering - Combined Track,7,01240108
Physics and Electrical Engineering - Combined Track,8,01140250
Physics and Electrical Engineering - Combined Track,8,01140252
Computer Science and Physics - Combined Degree Track,1,00440102
Computer Science and Physics - Combined Degree Track,1,02340129
Computer Science and Physics - Combined Degree Track,1,01040031
Computer Science and Physics - Combined Degree Track,1,01040166
Computer Science and Physics - Combined Degree Track,1,02340114
Computer Science and Physics - Combined Degree Track,1,03240033
Computer Science and Physics - Combined Degree Track,2,04402520
Computer Science and Physics - Combined Degree Track,2,01040032
Computer Science and Physics - Combined Degree Track,2,02340124
Computer Science and Physics - Combined Degree Track,2,02340141
Computer Science and Physics - Combined Degree Track,3,00940412
Computer Science and Physics - Combined Degree Track,3,01040134
Computer Science and Physics - Combined Degree Track,3,01040033
Computer Science and Physics - Combined Degree Track,3,01140074
Computer Science and Physics - Combined Degree Track,3,01140020
Computer Science and Physics - Combined Degree Track,3,02340218
Computer Science and Physics - Combined Degree Track,3,02340292
Computer Science and Physics - Combined Degree Track,4,01040285
Computer Science and Physics - Combined Degree Track,4,01140076
Computer Science and Physics - Combined Degree Track,4,01140021
Computer Science and Physics - Combined Degree Track,4,02340118
Computer Science and Physics - Combined Degree Track,4,02340123
Computer Science and Physics - Combined Degree Track,4,02340247
Computer Science and Physics - Combined Degree Track,5,01040220
Computer Science and Physics - Combined Degree Track,5,01040214
Computer Science and Physics - Combined Degree Track,5,01040215
Computer Science and Physics - Combined Degree Track,5,01140101
Computer Science and Physics - Combined Degree Track,5,01140086
Computer Science and Physics - Combined Degree Track,6,01140035
Computer Science and Physics - Combined Degree Track,6,01150203
Computer Science and Physics - Combined Degree Track,6,01140036
Computer Science and Physics - Combined Degree Track,6,01140246
Computer Science and Physics - Combined Degree Track,7,02340125
Computer Science and Physics - Combined Degree Track,7,01150204
Computer Science and Physics - Combined Degree Track,7,02360343
Computer Science and Physics - Combined Degree Track,7,01240108
Computer Science and Physics - Combined Degree Track,8,01140037
Biomedical Engineering and Physics - Combined Degree Track,1,00440102
Biomedical Engineering and Physics - Combined Degree Track,1,01040065
Biomedical Engineering and Physics - Combined Degree Track,1,01040042
Biomedical Engineering and Physics - Combined Degree Track,1,01140020
Biomedical Engineering and Physics - Combined Degree Track,1,01140074
Biomedical Engineering and Physics - Combined Degree Track,1,01250001
Biomedical Engineering and Physics - Combined Degree Track,1,01340058
Biomedical Engineering and Physics - Combined Degree Track,2,01040013
Biomedical Engineering and Physics - Combined Degree Track,2,01040038
Biomedical Engineering and Physics - Combined Degree Track,2,01040136
Biomedical Engineering and Physics - Combined Degree Track,2,01140076
Biomedical Engineering and Physics - Combined Degree Track,2,01240801
Biomedical Engineering and Physics - Combined Degree Track,2,02340128
Biomedical Engineering and Physics - Combined Degree Track,3,00440105
Biomedical Engineering and Physics - Combined Degree Track,3,01040214
Biomedical Engineering and Physics - Combined Degree Track,3,01040215
Biomedical Engineering and Physics - Combined Degree Track,3,01040220
Biomedical Engineering and Physics - Combined Degree Track,3,01140021
Biomedical Engineering and Physics - Combined Degree Track,3,01140086
Biomedical Engineering and Physics - Combined Degree Track,3,01340019
Biomedical Engineering and Physics - Combined Degree Track,3,03340274
Biomedical Engineering and Physics - Combined Degree Track,4,00440131
Biomedical Engineering and Physics - Combined Degree Track,4,01040034
Biomedical Engineering and Physics - Combined Degree Track,4,01140035
Biomedical Engineering and Physics - Combined Degree Track,4,03340222
Biomedical Engineering and Physics - Combined Degree Track,4,03360537
Biomedical Engineering and Physics - Combined Degree Track,5,01140101
Biomedical Engineering and Physics - Combined Degree Track,5,03360100
Biomedical Engineering and Physics - Combined Degree Track,5,03340009
Biomedical Engineering and Physics - Combined Degree Track,5,03340011
Biomedical Engineering and Physics - Combined Degree Track,5,03350010
Biomedical Engineering and Physics - Combined Degree Track,6,01140036
Biomedical Engineering and Physics - Combined Degree Track,6,01150203
Biomedical Engineering and Physics - Combined Degree Track,6,03340023
Biomedical Engineering and Physics - Combined Degree Track,6,03350005
Biomedical Engineering and Physics - Combined Degree Track,6,03360533
Biomedical Engineering and Physics - Combined Degree Track,7,01140037
Biomedical Engineering and Physics - Combined Degree Track,7,01150204
Biomedical Engineering and Physics - Combined Degree Track,7,03340014
Biomedical Engineering and Physics - Combined Degree Track,7,03350003
Biomedical Engineering and Physics - Combined Degree Track,8,01140246
Biomedical Engineering and Physics - Combined Degree Track,8,03350015
