track_name,semester,course_id
Materials Engineering,1,01040019
Materials Engineering,1,01040041
Materials Engineering,1,01140051
Materials Engineering,1,01240117
Materials Engineering,1,02340128
Materials Engineering,1,03240033
Materials Engineering,2,01040043
Materials Engineering,2,01040131
Materials Engineering,2,01140052
Materials Engineering,2,03140011
Materials Engineering,2,01240118
Materials Engineering,2,01140081
Materials Engineering,3,01040228
Materials Engineering,3,01240400
Materials Engineering,3,03150058
Materials Engineering,3,03140009
Materials Engineering,3,00940481
Materials Engineering,4,01240413
Materials Engineering,4,01240414
Materials Engineering,4,01240801
Materials Engineering,4,03150003
Materials Engineering,4,03150051
Materials Engineering,4,03140016
Materials Engineering,5,03140150
Materials Engineering,5,03140006
Materials Engineering,5,03150052
Materials Engineering,5,03140309
Materials Engineering,5,03140003
Materials Engineering,6,03140311
Materials Engineering,6,03140312
Materials Engineering,6,03150030
Materials Engineering,6,03150039
Materials Engineering,6,03150008
Materials Engineering,7,03150242
Materials Engineering,7,03150059
Materials Engineering,7,03140532
Materials Engineering,7,03150001
Materials Engineering,7,03150037
Materials Engineering,8,03150002
Materials Engineering,8,03150012
Materials Engineering,8,03150014
Materials Engineering and Physics,1,01040019
Materials Engineering and Physics,1,01040041
Materials Engineering and Physics,1,01140051
Materials Engineering and Physics,1,01240117
Materials Engineering and Physics,1,02340128
Materials Engineering and Physics,1,03240033
Materials Engineering and Physics,2,01040043
Materials Engineering and Physics,2,01040131
Materials Engineering and Physics,2,01140052
Materials Engineering and Physics,2,03140011
Materials Engineering and Physics,2,01240118
Materials Engineering and Physics,2,01140081
Materials Engineering and Physics,3,01040228
Materials Engineering and Physics,3,01240400
Materials Engineering and Physics,3,03150058
Materials Engineering and Physics,3,03140009
Materials Engineering and Physics,3,00940481
Materials Engineering and Physics,4,01240413
Materials Engineering and Physics,4,01240414
Materials Engineering and Physics,4,01240801
Materials Engineering and Physics,4,03150003
Materials Engineering and Physics,4,03150051
Materials Engineering and Physics,4,03140016
Materials Engineering and Physics,5,03140150
Materials Engineering and Physics,5,03140006
Materials Engineering and Physics,5,03150052
Materials Engineering and Physics,5,03140309
Materials Engineering and Physics,5,03140003
Materials Engineering and Physics,6,03140311
Materials Engineering and Physics,6,03140312
Materials Engineering and Physics,6,03150030
Materials Engineering and Physics,6,03150039
Materials Engineering and Physics,6,03150008
Materials Engineering and Physics,7,03150242
Materials Engineering and Physics,7,03150059
Materials Engineering and Physics,7,03140532
Materials Engineering and Physics,7,03150001
Materials Engineering and Physics,7,03150037
Materials Engineering and Physics,8,03150002
Materials Engineering and Physics,8,03150012
Materials Engineering and Physics,8,03150014
Materials Engineering and Chemistry,1,01040019
Materials Engineering and Chemistry,1,01040041
Materials Engineering and Chemistry,1,01140051
Materials Engineering and Chemistry,1,01240117
Materials Engineering and Chemistry,1,02340128
Materials Engineering and Chemistry,1,03240033
Materials Engineering and Chemistry,2,01040043
Materials Engineering and Chemistry,2,01040131
Materials Engineering and Chemistry,2,01140052
Materials Engineering and Chemistry,2,01140081
Materials Engineering and Chemistry,2,01240118
